,C_H,L_H,N_H,A_H,K_H,Z_H,X_H,LAMBDA_H,S_H,NX_H,Y_H,C_F,L_F,N_F,A_F,K_F,Z_F,X_F,LAMBDA_F,S_F,NX_F,Y_F,LGM
Constant,0.826091,0.696782,0.303218,0.606436,11.014795,1.098697,0.275370,1.000000,0.275370,0,1.101461,0.826091,0.696782,0.303218,0.606436,11.014795,1.098697,0.275370,1.000000,0.275370,0,1.101461,0.278732
A_H(-1),0,0,0,0.500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K_H(-1),0.013152,0.005880,-0.005880,-0.005880,0.349915,0.007711,-0.156271,0,-0.625085,0.110649,-0.013533,0.013152,0.005880,-0.005880,-0.005880,0.349915,0.007711,0.087479,0,0.349915,-0.110649,-0.013533,-0.007499
Z_H(-1),0.023611,-0.002992,0.002992,0.002992,1.079008,0.209348,0.269752,0,1.079008,0.466904,0.016987,0.017337,0.007751,-0.007751,-0.007751,1.079008,0.209348,0.269752,0,1.079008,-0.466904,-0.017839,-0.009885
S_H(-1),-0.010263,-0.004589,0.004589,0.004589,-0.387216,-0.007373,0.153196,0,-0.387216,-0.113486,0.010560,-0.010263,-0.004589,0.004589,0.004589,-0.387216,-0.007373,-0.096804,0,-0.387216,0.113486,0.010560,0.005852
A_F(-1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500000,0,0,0,0,0,0,0,0
K_F(-1),0.013152,0.005880,-0.005880,-0.005880,0.349915,0.007711,0.087479,0,0.349915,-0.110649,-0.013533,0.013152,0.005880,-0.005880,-0.005880,0.349915,0.007711,-0.156271,0,-0.625085,0.110649,-0.013533,-0.007499
Z_F(-1),0.017337,0.007751,-0.007751,-0.007751,1.079008,0.209348,0.269752,0,1.079008,-0.466904,-0.017839,0.023611,-0.002992,0.002992,0.002992,1.079008,0.209348,0.269752,0,1.079008,0.466904,0.016987,-0.009885
S_F(-1),-0.010263,-0.004589,0.004589,0.004589,-0.387216,-0.007373,-0.096804,0,-0.387216,0.113486,0.010560,-0.010263,-0.004589,0.004589,0.004589,-0.387216,-0.007373,0.153196,0,-0.387216,-0.113486,0.010560,0.005852
K_H(-2),0.000490,0.000219,-0.000219,-0.000219,-0.009893,0.001478,-0.002473,0,-0.009893,0,-0.000505,0.000490,0.000219,-0.000219,-0.000219,-0.009893,0.001478,-0.002473,0,-0.009893,0,-0.000505,-0.000280
K_H(-3),0.000463,0.000207,-0.000207,-0.000207,-0.018435,0.033007,-0.004609,0,-0.018435,-0.026635,-0.000476,0.000463,0.000207,-0.000207,-0.000207,-0.018435,-0.025667,-0.004609,0,-0.018435,0.026635,-0.000476,-0.000264
K_H(-4),0.006231,-0.008799,0.008799,0.008799,0.053936,0.010465,0.013484,0,0.053936,0.023339,0.055887,0.000867,0.000387,-0.000387,-0.000387,0.053936,0.010465,0.013484,0,0.053936,-0.023339,-0.000892,-0.000494
S_H(-2),-0.007461,-0.003336,0.003336,0.003336,-0.358712,-0.020184,0.160322,0,-0.358712,-0.113486,0.007677,-0.007461,-0.003336,0.003336,0.003336,-0.358712,-0.020184,-0.089678,0,-0.358712,0.113486,0.007677,0.004254
S_H(-3),-0.004214,-0.001884,0.001884,0.001884,-0.262264,-0.050884,0.184434,0,-0.262264,-0.113486,0.004336,-0.004214,-0.001884,0.001884,0.001884,-0.262264,-0.050884,-0.065566,0,-0.262264,0.113486,0.004336,0.002403
K_F(-2),0.000490,0.000219,-0.000219,-0.000219,-0.009893,0.001478,-0.002473,0,-0.009893,0,-0.000505,0.000490,0.000219,-0.000219,-0.000219,-0.009893,0.001478,-0.002473,0,-0.009893,0,-0.000505,-0.000280
K_F(-3),0.000463,0.000207,-0.000207,-0.000207,-0.018435,-0.025667,-0.004609,0,-0.018435,0.026635,-0.000476,0.000463,0.000207,-0.000207,-0.000207,-0.018435,0.033007,-0.004609,0,-0.018435,-0.026635,-0.000476,-0.000264
K_F(-4),0.000867,0.000387,-0.000387,-0.000387,0.053936,0.010465,0.013484,0,0.053936,-0.023339,-0.000892,0.006231,-0.008799,0.008799,0.008799,0.053936,0.010465,0.013484,0,0.053936,0.023339,0.055887,-0.000494
S_F(-2),-0.007461,-0.003336,0.003336,0.003336,-0.358712,-0.020184,-0.089678,0,-0.358712,0.113486,0.007677,-0.007461,-0.003336,0.003336,0.003336,-0.358712,-0.020184,0.160322,0,-0.358712,-0.113486,0.007677,0.004254
S_F(-3),-0.004214,-0.001884,0.001884,0.001884,-0.262264,-0.050884,-0.065566,0,-0.262264,0.113486,0.004336,-0.004214,-0.001884,0.001884,0.001884,-0.262264,-0.050884,0.184434,0,-0.262264,-0.113486,0.004336,0.002403
LAMBDA_H(-1),0.356099,-0.161927,0.161927,0.161927,8.865347,0.746282,2.216337,0.906000,8.865347,-1.777810,1.360531,0.221839,0.067992,-0.067992,-0.067992,-7.142393,-0.454954,-1.785598,0.088000,-7.142393,1.777810,-0.060526,-0.118252
LAMBDA_F(-1),0.221839,0.067992,-0.067992,-0.067992,-7.142393,-0.454954,-1.785598,0.088000,-7.142393,1.777810,-0.060526,0.356099,-0.161927,0.161927,0.161927,8.865347,0.746282,2.216337,0.906000,8.865347,-1.777810,1.360531,-0.118252
E_H,0.372779,-0.187789,0.187789,0.187789,10.651359,0.880795,2.662840,1.000000,10.651359,-2.173361,1.522542,0.208648,0.093286,-0.093286,-0.093286,-8.918005,-0.587709,-2.229501,0,-8.918005,2.173361,-0.214691,-0.118966
E_F,0.208648,0.093286,-0.093286,-0.093286,-8.918005,-0.587709,-2.229501,0,-8.918005,2.173361,-0.214691,0.372779,-0.187789,0.187789,0.187789,10.651359,0.880795,2.662840,1.000000,10.651359,-2.173361,1.522542,-0.118966
